Order name,Day,Shipping region,Shipping city,Total sales (last click),First order referring channel,Order UTM campaign,Referring channel,UTM campaign name,Notes,Found on shopify or zoho
#83408,29-07-2026,Maharashtra,Kankavli,32394,bing,,bing,,,
#83385,29-07-2026,Delhi,Delhi,3199,chatgpt.com,,chatgpt.com,,,
#83404,29-07-2026,Maharashtra,Mumbai,6998,direct,,direct,,actual direct visit,
#83410,29-07-2026,Maharashtra,Mumbai,6999,direct,,direct,,,
#83409,29-07-2026,Mizoram,Aizawl,4499.1,Google,Pmaxbleeders_20714640181,direct,,,
#83401,29-07-2026,Maharashtra,Mumbai,6749.1,direct,,direct,,,
#83394,29-07-2026,Karnataka,Bengaluru,5039.1,Google,Pmaxbleeders_20714640181,direct,,,
#83407,29-07-2026,Tamil Nadu,Thanjavur,4265.1,Google,LightingSearchaimax,direct,,,
#83388,29-07-2026,Karnataka,Bengaluru,4193.1,direct,,direct,,,
#83399,29-07-2026,Telangana,Hyderabad,6799,Google,Pmaxbleeders_20714640181,direct,,,
#83384,29-07-2026,Madhya Pradesh,Bhopal,9719.1,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,
#83411,29-07-2026,Karnataka,Bangalore,3225,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,
#83403,29-07-2026,Uttar Pradesh,Noida,6299.1,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,
#83396,29-07-2026,Rajasthan,Bichhawari,26499,direct,,direct,,,
#83397,29-07-2026,Uttarakhand,Rishikesh,10349.1,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,
#83395,29-07-2026,Rajasthan,Bichhawari,24598,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,
#83405,29-07-2026,Maharashtra,Mumbai,18809.1,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,
#83387,29-07-2026,Nagaland,Dimapur,7109.1,instagram,,,,,
#83380,29-07-2026,Gujarat,Surat,14998,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,
#83381,29-07-2026,Haryana,Gurugram,1839,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,
#83398,29-07-2026,Gujarat,Surat,4307,razorpay,,razorpay,,,
#83400,29-07-2026,Uttarakhand,Haldwani,12578.3,fb,,fb,,679536 this is cx visitor id it shows different location in visits and visitors data on zoho need to be checked,zoho sales iq
