"Landing page type","Landing page path","UTM source","UTM campaign","Referrer source","Sessions","Pageviews","Conversion rate","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions"
"Collection","/collections/outdoor-lighting","google","PMaxLightingNC_16828666790","search",50479,76504,0.000019810218110501396,1,97,593
"Collection","/collections/outdoor-lighting","google","PMaxLightingNC_16828666790","direct",11684,16982,0,0,3,12
"Collection","/collections/indoor-lighting","google","PMaxLightingNC_16828666790","search",5592,9429,0.000178826895565093,1,5,42
"Collection","/collections/outdoor-lighting","google","BestsellersDemandGen_23697546917","search",3956,5784,0,0,17,59
"Collection","/collections/pendant-lights","google","LightingSearchaimax","search",1299,4008,0,0,5,22
"Collection","/collections/indoor-lighting","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",1611,3915,0.004345127250155183,7,18,34
"Collection","/collections/indoor-lighting","google","Search_Brand_18098202173","search",789,3804,0.011406844106463879,9,17,47
"Collection","/collections/wall-lights","google","LightingSearchaimax","search",1170,3538,0.0008547008547008547,1,6,27
"Collection","/collections/wall-lights",,,"direct",1201,3276,0.004163197335553705,5,11,26
"Collection","/collections/pendant-lights",,,"direct",1089,2957,0.004591368227731864,5,11,27
"Collection","/collections/indoor-lighting","google","PMaxLightingNC_16828666790","direct",2029,2922,0,0,1,4
"Collection","/collections/wall-lights",,,"search",904,2487,0.0022123893805309734,2,3,13
"Product","/products/vista-outdoor-wall-light-brown","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",1491,2329,0.002012072434607646,3,38,53
"Product","/products/vintage-green-shade-pendant-light","google","LightingShopping_21285710791","search",844,2245,0,0,3,19
"Collection","/collections/chandeliers",,,"direct",895,2201,0.0011173184357541898,1,7,16
"Product","/products/celeste-8-light-candelabra-chandelier","google","LightingShopping_21285710791","search",1134,2110,0.0008818342151675485,1,4,12
"Product","/products/russet-terracotta-vase-medium","google","ShoppingIndexdecor_23361314596","search",705,2019,0.0028368794326241137,2,8,21
"Collection","/collections/indoor-lighting",,,"direct",667,1989,0.004497751124437781,3,7,18
"Product","/products/celeste-8-light-candelabra-chandelier","google","Pmaxbleeders_20714640181","search",1127,1979,0.0008873114463176575,1,3,10
"Product","/products/visage-outdoor-wall-light-black","google","PMaxLightingNC_16828666790","search",1250,1971,0.0008,1,11,19
"Collection","/collections/indoor-lighting","bing","PmaxLightingBing","search",556,1945,0.0035971223021582736,2,3,11
"Product","/products/velora-12-light-candle-chandelier-silver","google","Pmaxbleeders_20714640181","search",1406,1907,0,0,3,7
